Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Egypt,EGY,2012,52.553802490234375,4900.7705078125,5859.27001953125
Egypt,EGY,2013,50.75688552856445,4843.66015625,5599.40869140625
Egypt,EGY,2014,50.0313720703125,4967.70751953125,5111.29833984375
Egypt,EGY,2015,100.81098937988281,4977.6767578125,4978.09423828125
Egypt,EGY,2016,150.0304718017578,5034.56640625,5225.583984375
Egypt,EGY,2017,144.66404724121094,4680.078125,5799.734375
Egypt,EGY,2018,257.9552307128906,4087.008544921875,6054.91064453125
Egypt,EGY,2019,228.52235412597656,3787.27685546875,5881.0390625
Egypt,EGY,2020,85.34151458740234,3198.408935546875,5697.80859375
Egypt,EGY,2021,135.37472534179688,3408.43701171875,5934.9375
Estonia,EST,1985,44351.078125,26567.224609375,6887.939453125
Estonia,EST,1986,44492.1875,26048.23828125,6204.52294921875
Estonia,EST,1987,44437.0859375,26050.517578125,6656.31982421875
Estonia,EST,1988,42036.97265625,26056.962890625,7109.2763671875
Estonia,EST,1989,43357.9375,26773.9296875,7083.16162109375
Estonia,EST,1990,46006.8515625,26413.236328125,9081.798828125
Estonia,EST,1991,42653.90625,23524.24609375,9219.4580078125
Estonia,EST,1992,35158.01171875,12870.79296875,5487.3681640625
Estonia,EST,1993,28696.419921875,13943.2744140625,2779.793701171875
Estonia,EST,1994,29979.681640625,12981.3251953125,4077.133056640625
Estonia,EST,1995,28267.416015625,10372.552734375,4727.40869140625
Estonia,EST,1996,29933.71484375,11347.1494140625,5269.650390625
Estonia,EST,1997,29755.71484375,11205.779296875,5149.7578125
Estonia,EST,1998,25272.748046875,11277.7744140625,4899.20703125
Estonia,EST,1999,22917.591796875,10553.47265625,4771.033203125
Estonia,EST,2000,24492.90625,9526.8056640625,5502.95849609375
Estonia,EST,2001,24481.16015625,11077.4658203125,5936.81689453125
Estonia,EST,2002,24088.42578125,12484.513671875,5010.7138671875
Estonia,EST,2003,28096.765625,11802.2666015625,5760.59912109375
Estonia,EST,2004,28208.822265625,12059.4990234375,6606.1884765625
Estonia,EST,2005,28097.6640625,12357.419921875,6860.3623046875
Estonia,EST,2006,26966.4375,12972.880859375,6965.2724609375
Estonia,EST,2007,33689.30078125,13898.4921875,6950.11083984375
Estonia,EST,2008,30208.97265625,13275.4345703125,6686.978515625
Estonia,EST,2009,26169.763671875,11965.1884765625,4570.81591796875
Estonia,EST,2010,35151.42578125,12371.3583984375,4911.03173828125
Estonia,EST,2011,35695.7265625,12101.2509765625,4408.560546875
Estonia,EST,2012,32909.37109375,14396.748046875,4793.81591796875
Estonia,EST,2013,36712.13671875,14257.2646484375,4892.46923828125
Estonia,EST,2014,35980.59765625,13229.427734375,3848.365966796875
Estonia,EST,2015,31902.732421875,13214.513671875,3452.365478515625
Estonia,EST,2016,33470.72265625,12878.5419921875,3783.306640625
Estonia,EST,2017,38124.8671875,13411.537109375,3705.345703125
Estonia,EST,2018,37145.8046875,13209.318359375,3782.23876953125
Estonia,EST,2019,27010.81640625,11759.3251953125,3515.67724609375
Estonia,EST,2020,22059.466796875,12384.20703125,3241.894775390625
Estonia,EST,2021,25749.115234375,12854.642578125,3666.1572265625
Europe,,1965,14969.802734375,10912.5283203125,2511.793212890625
Europe,,1966,14656.7978515625,11795.384765625,2790.1025390625
Europe,,1967,14353.0966796875,12719.3740234375,3114.702392578125
Europe,,1968,14338.1103515625,13764.4638671875,3511.8408203125
Europe,,1969,14436.5419921875,15039.80859375,3954.670654296875
Europe,,1970,14146.1318359375,16542.20703125,4532.43798828125
Europe,,1971,13796.0126953125,17280.4453125,5150.21142578125
Europe,,1972,13580.6396484375,18437.107421875,5715.88818359375
Europe,,1973,13683.05859375,19629.724609375,6297.5146484375
Europe,,1974,13550.630859375,19201.8359375,6837.01025390625
